Player,Player,Salary,DFF Proj,FPros Proj,NF Proj,SportsLine,DraftEdge Proj,RotoWire Proj,FantasyLabs Proj,FBGuys Proj,B5 Proj,Avg Proj,Weighted,Roster %,Position,Exclude?,,,,,,Weights,
Eagles,Eagles,4500,7,7,7,9.91,7.7,7.98,7.22,7.01,7.5840000000000005,7.600444444444444,7.472286666666666,0,DST,,,,,,,,
Devaughn Vele,Devaughn Vele,5000,7,6.880000000000001,6.6,6.52,7.6,7.89,7.08,6.956000000000001,6.791200000000001,7.035244444444445,7.005522666666667,1.9,WR,,,,,,,,
Dalton Kincaid,Dalton Kincaid,5200,7,6.82,7.2,7.53,9.7,6.81,7.62,7.735000000000001,7.257000000000001,7.519111111111111,7.433726666666668,3.86,TE,,,,,,,,
Jets,Jets,3400,6.9,6.9,6.9,5.62,5.6,7.05,7.04,7.34,6.732000000000001,6.675777777777777,6.770026666666666,0,DST,,,,,,,,
Dalton Schultz,Dalton Schultz,5100,6.9,6.62,6.4,7.24,9.4,6.86,6.87,6.0790000000000015,6.647800000000001,7.001866666666667,6.869264000000001,3.3,TE,,,,,,,,
Chris Rodriguez Jr.,Chris Rodriguez,5300,6.8,6.910000000000001,7.6,6.8,7.5,7.26,6.61,6.8,6.982000000000001,7.02911111111111,6.985426666666667,0,RB,,,,,,,,
Woody Marks,Woody Marks,6200,6.7,8.15,8.1,7.69,7.1,8.14,6.68,6.562,7.440400000000001,7.395822222222222,7.351585333333333,0.09,RB,,,,,,,,
KC Concepcion,KC Concepcion,5100,6.7,6.8100000000000005,5.3,8.19,8.3,7.45,7.28,8.463,7.0926,7.287288888888889,7.274721333333333,0,WR,,,,,,,,
Keenan Allen,Keenan Allen,5700,6.6,5.54,1.5,6.69,7.5,6.48,6.53,6.1450000000000005,5.295,5.80888888888889,5.802433333333334,0,WR,,,,,,,,
T.J. Hockenson,TJ Hockenson,5000,6.6,6.38,5.8,5.72,8.1,6.79,6.68,5.770000000000001,6.054,6.432666666666667,6.369120000000001,7.12,TE,,,,,,,,
Tyler Allgeier,Tyler Allgeier,5900,6.6,6.86,6.5,6.95,7,8.09,6.35,7.718000000000001,6.9256,6.99928888888889,7.001161333333334,0,RB,False,,,,,,,
Lions,Lions,4700,6.5,6.5,6.5,9.59,6,6.7,6.56,7.25,7.268000000000001,6.985333333333334,6.944940000000001,0,DST,,,,,,,,
Kyle Monangai,Kyle Monangai,5600,6.4,8.61,9.3,9.57,7.2,6.71,6.46,6.939,8.1638,7.705866666666667,7.650844000000001,0.08,RB,,,,,,,,
Vikings,Vikings,4000,6.3,6.3,6.3,8.83,5.1,6.48,5.72,6.76,6.897999999999999,6.520888888888888,6.5108733333333335,0,DST,,,,,,,,
Packers,Packers,4200,6.2,6.2,6.2,9.99,5.8,6.04,5.66,6.869999999999999,7.0920000000000005,6.672444444444444,6.617526666666667,0,DST,,,,,,,,
Cade Otton,Cade Otton,5000,6.2,6.3100000000000005,6.6,7.99,7.7,6.56,6.15,5.279,6.475800000000001,6.584977777777778,6.434270666666668,3.87,TE,,,,,,,,
Jerry Jeudy,Jerry Jeudy,5700,6.1,6.7,6.6,7.81,6.7,5.37,5.85,4.708,6.3835999999999995,6.246844444444444,6.155934666666667,13.9,WR,,,,,,,,
Dolphins,Dolphins,3000,6,6,6,8.91,5.4,5.58,5.3,6.899999999999999,6.7620000000000005,6.316888888888888,6.309793333333333,0,DST,,,,,,,,
Rashod Bateman,Rashod Bateman,5200,6,6.430000000000001,6,7.5,6.6,6.36,4.93,5.548000000000001,6.2956,6.184844444444445,6.118194666666668,3.56,WR,,,,,,,,
Ravens,Ravens,4300,5.9,5.9,5.9,6.43,6.2,6.55,5.86,7.220000000000001,6.2700000000000005,6.247777777777778,6.263566666666667,0,DST,,,,,,,,
Dontayvion Wicks,Dontayvion Wicks,5500,5.9,5.6000000000000005,4,5.38,7.9,7.08,6,5.106000000000002,5.1972000000000005,5.795911111111112,5.698202666666666,0,WR,,,,,,,,
Adonai Mitchell,Adonai Mitchell,5400,5.9,6.19,5.9,6.01,6.8,6.15,5.9,6.684000000000001,6.1368,6.185644444444446,6.191350666666668,0,WR,,,,,,,,
Bills,Bills,4100,5.8,5.8,5.8,6.41,5.7,5.82,5.44,6.6499999999999995,6.092,5.945777777777777,5.969926666666668,0,DST,,,,,,,,
Raiders,Raiders,3800,5.8,5.8,5.8,7.67,6,7.69,7.04,8.92,6.798,6.835333333333334,6.858739999999999,0,DST,,,,,,,,
Pat Freiermuth,Pat Freiermuth,4800,5.8,5.7700000000000005,6.3,6.35,6.7,5.58,5.92,5.837000000000001,6.0114,6.029822222222223,5.980265333333334,4.64,TE,,,,,,,,
Mike Washington Jr.,Mike Washington,4500,5.8,6.470000000000001,2.9,5.8,6.4,6.28,6.15,5.8,5.354,5.661555555555555,5.706453333333333,0,RB,,,,,,,,
Calvin Ridley,Calvin Ridley,5800,5.7,6.44,5.3,8.66,6.3,7.05,4.99,5.096000000000001,6.2392,6.197244444444444,6.078562666666667,8.43,WR,,,,,,,,
Bears,Bears,4800,5.6,5.6,5.6,8.18,5.5,6.05,5.04,6.59,6.313999999999999,6.052666666666666,6.01932,0,DST,,,,,,,,
Buccaneers,Buccaneers,3900,5.6,5.6,5.6,6.53,5.1,4.99,5.08,6.569999999999999,5.9799999999999995,5.672222222222222,5.722633333333333,0,DST,,,,,,,,
Makai Lemon,Makai Lemon,5500,5.6,6.36,7.8,6.6,6.5,5.38,5.37,5.101,6.292199999999999,6.111466666666667,6.0325359999999995,0,WR,,,,,,,,
Tre' Harris,Tre Harris,4700,5.5,5.23,5.6,3.57,6.8,4.74,5.67,5.564000000000001,5.0927999999999995,5.307422222222222,5.322697333333334,0.13,WR,,,,,,,,
Texans,Texans,4400,5.4,5.4,5.4,9.6,5.3,6.37,5.88,6.4,6.44,6.243333333333334,6.1488000000000005,0,DST,,,,,,,,
Malik Washington,Malik Washington,5800,5.4,5.86,6.4,5.93,8.2,6.45,6.19,6.24,5.966000000000001,6.292888888888889,6.190913333333334,0.9,WR,,,,,,,,
Kayshon Boutte,Kayshon Boutte,5000,5.4,6.91,5,6.23,5.4,7.56,5.44,6.026000000000001,5.913200000000001,5.986577777777779,6.0089826666666655,1.31,WR,,,,,,,,
Denzel Boston,Denzel Boston,4800,5.4,6.23,4.2,7.5,6.4,5.78,5.08,5.867000000000001,5.8394,5.810711111111112,5.787138666666666,0,WR,,,,,,,,
Caleb Douglas,Caleb Douglas,4600,5.4,5.550000000000001,5.7,4.81,6.3,4.31,5.37,6.693000000000001,5.6306,5.529288888888889,5.597561333333333,0,WR,,,,,,,,
Jauan Jennings,Jauan Jennings,5900,5.3,6.44,5.5,7.5,6.7,6.98,5.43,4.638,5.8756,6.0404,5.907328,0,WR,,,,,,,,
